Respondent ID: Respondent ID,Language: Language,Q1: What is your age?,Q48: What best describes your location?,Q2 Recoded: What is your preferred language?,Q3: How well can you read and write in English?,Q4: Has the general preference for use of English in open source negatively affected your ability to participate?,Q28: Which best describes your employment (paid work) status?,"Q29: In your main job, how often do you contribute to open source communities?","Q44: Do you identify as a person with a dis/ability? For the purpose of this survey we define dis/ability as a long-term physical, mental, intellectual, or sensory impairment which, in interaction with various attitudinal and environmental barriers, hinders your full and effective participation in society on an equal basis with others.","Q49_01: With which racial background(s) do you identify? If multiracial, check all that apply. Asian","Q49_02: With which racial background(s) do you identify? If multiracial, check all that apply. Black","Q49_03: With which racial background(s) do you identify? If multiracial, check all that apply. Hispanic/Latinx","Q49_04: With which racial background(s) do you identify? If multiracial, check all that apply. Native or Indigenous","Q49_05: With which racial background(s) do you identify? If multiracial, check all that apply. Pacific Islander","Q49_06: With which racial background(s) do you identify? If multiracial, check all that apply. White","Q49_07: With which racial background(s) do you identify? If multiracial, check all that apply. Prefer not to answer","Q49_08_None of above the above: With which racial background(s) do you identify? If multiracial, check all that apply. None of the above",Q50_01: What is your gender? Woman,Q50_02: What is your gender? Man,Q50_03: What is your gender? Non-binary / third gender,Q50_04: What is your gender? Prefer not to answer,Q50_05: What is your gender? Other,"Q51: Do you consider yourself to be gender non-conforming, gender diverse, gender variant, or gender expansive?",Q52: Do you consider yourself to be transgender?,Q53_01: What is your sexual orientation? (check all that apply)? Asexual,Q53_02: What is your sexual orientation? (check all that apply)? Bisexual,Q53_03: What is your sexual orientation? (check all that apply)? Gay,Q53_04: What is your sexual orientation? (check all that apply)? Heterosexual or straight,Q53_05: What is your sexual orientation? (check all that apply)? Questioning,Q53_06: What is your sexual orientation? (check all that apply)? Lesbian,Q53_07: What is your sexual orientation? (check all that apply)? Pansexual,Q53_08: What is your sexual orientation? (check all that apply)? Queer,Q53_09: What is your sexual orientation? (check all that apply)? Prefer not to answer,Q53_None_of_the_above: What is your sexual orientation? (check all that apply)? None of the above
12831849807,Arabic,35 to 44 years,East Asia and the Pacific Islands,All other answers,Moderately well,No,Self-Employed full or part time,Rarely,No,,,,,,,,,,Man,,,,No,No,Asexual,,,,,,,,,
12829662746,Arabic,35 to 44 years,Middle East and North Africa,English,Very well,No,Employed full time,Rarely,No,,,,,,,,,,Man,,,,Yes,No,,,,,,,,,,None of the above
12829682460,Arabic,25 to 34 years,Middle East and North Africa,All other answers,Moderately well,Yes,Employed full time,Frequently,No,,,,,,,,,Woman,,,,,No,No,Asexual,,,,,,,,,
12835483132,Arabic,35 to 44 years,Middle East and North Africa,All other answers,Moderately well,Yes,Temporarily not working,,No,,,,,,,,,,Man,,,,No,No,,,,,,,,,,None of the above
12829596156,Chinese,35 to 44 years,Central Asia,All other answers,Moderately well,No,Employed full time,Occasionally,No,,,,,,,,,,Man,,,,No,No,,,,,,,,,Prefer not to answer,
12829656443,Chinese,25 to 34 years,East Asia and the Pacific Islands,English,Moderately well,Yes,Employed full time,Occasionally,No,,,,,,,,,,Man,,,,No,No,,,,Heterosexual or straight,,,,,,
12830770883,Chinese,35 to 44 years,East Asia and the Pacific Islands,All other answers,Very well,No,Employed full time,Never,No,,,,,,,,,,Man,,,,No,No,,,,Heterosexual or straight,,,,,,
12831205774,Chinese,35 to 44 years,East Asia and the Pacific Islands,All other answers,Very well,No,Employed full time,Never,No,,,,,,,,,,Man,,,,Prefer not to answer,No,,,,Heterosexual or straight,,,,,,
12831733226,Chinese,35 to 44 years,East Asia and the Pacific Islands,All other answers,Not very well,Yes,Employed full time,Frequently,No,,,,,,,,,,Man,,,,No,No,,,,Heterosexual or straight,,,,,,
12833640250,Chinese,18 to 24 years,East Asia and the Pacific Islands,All other answers,Very well,No,Full-time university student,,No,,,,,,,,,,Man,,,,No,Prefer not to answer,,,,Heterosexual or straight,,,,,,
